name,first_review,div1_slope,div2_slope,div3_slope,div4_slope,total_slope,div1_mean,div2_mean,div3_mean,div4_mean,total_mean,div1_kurtosis,div2_kurtosis,div3_kurtosis,div4_kurtosis,total_kurtosis,div1_skew,div2_skew,div3_skew,div4_skew,total_skew,div1_median,div2_median,div3_median,div4_median,total_median,div1_std,div2_std,div3_std,div4_std,total_std,div1_var,div2_var,div3_var,div4_var,total_var,div1_number_reviews,div2_number_reviews,div3_number_reviews,div4_number_reviews,total_number_reviews,div1_avg_length_reviews,div2_avg_length_reviews,div3_avg_length_reviews,div4_avg_length_reviews,total_avg_length_reviews,div1_menu,div2_menu,div3_menu,div4_menu,total_menu,div1_service,div2_service,div3_service,div4_service,total_service,div1_value,div2_value,div3_value,div4_value,total_value,div1_access,div2_access,div3_access,div4_access,total_access,michelin__0.5,michelin__1.0,security,at_risk,actual
aska,0.05275731634481386,0.6537681689886611,0.7420472440944883,1.0,0.1562175268444752,0.8717948717948717,0.1428571428571428,1.0,0.7952167414050821,1.0,0.874014368319608,0.0,0.0,0.1836734693877554,0.0,0.3497583410959762,0.883220608395573,1.0,0.7113248654051862,1.0,0.6110495152710724,0.33333333333333337,1.0,1.0,1.0,1.0,0.6310746041659502,0.0,0.07685863390656184,0.0,0.4726454712213274,0.44483686255330407,0.0,0.04126984126984126,0.0,0.2233937414660306,0.0,0.0018963337547408345,0.0018796992481203006,0.0008410428931875525,0.0014668901927912825,0.5262599469496021,0.7632417363600159,0.5864304235090753,0.4086845466155811,0.6611237087427564,0.0,0.5024875621890548,0.6666666666666666,1.0,0.45355191256830596,0.08333333333333334,0.02987697715289982,0.08686619489709796,0.03790750568612586,0.01931468079669442,0.17204301075268816,0.25870646766169153,0.13846153846153847,0.19148936170212763,0.1700404858299595,0.19791666666666669,0.1945945945945946,0.5359001713380531,0.6122448979591837,0.31773879142300193,1,0,0.5029395140195323,0,0
blanca,0.4457495520605216,0.6664412510566358,0.741705922053861,0.19051745481554838,0.27301201514097795,0.7665092807543582,0.8351648351648349,0.3388888888888886,0.47341447789878277,0.2300956125457958,0.39022954266690046,0.12330640335128659,0.11191341508692329,0.46892874796977646,0.12062497623968664,0.2210257638592079,0.7403208490843578,0.8473588780277914,0.4583310500186424,0.7901706439321047,0.7451087585891313,0.9999999999999999,0.0,1.0,0.0,1.0,0.30535240827622967,0.6956306661977498,0.6858509452614676,1.0,0.8776964042716935,0.09324009324009326,0.4839020237547253,0.5777777777777774,1.0,0.7703509780714599,0.02962962962962963,0.03160556257901391,0.03070175438596491,0.031118587047939447,0.03101424979044426,0.7861660885533563,0.6324014336917563,0.44532834741502475,0.3494839502099031,0.5507742144476837,0.3846153846153846,0.0,0.4285714285714286,0.01713586291309671,0.0,0.012820512820512817,0.02987697715289982,0.08686619489709796,0.03790750568612586,0.011524426208694337,0.17204301075268816,0.1382462686567164,0.0,0.0,0.0,0.01282051282051283,0.08183783783783784,0.10629424886044028,0.0,0.0,1,0,0.7463139410364795,0,0
cafe-boulud,0.9124029464463468,0.6343677375256322,0.733612670797777,0.20925214640187845,0.1567699365050565,0.7691668658412738,0.5714285714285714,0.4197322322322319,0.4390719438487034,0.4396902860362246,0.4334874280143426,0.39843905844803507,0.19440593254195698,0.4351546639030095,0.22011077933892567,0.24330528596960166,0.5146555871341353,0.7221865925606495,0.46672162778542026,0.6949197502711386,0.7130144249694091,0.6666666666666666,0.0,1.0,0.0,0.0,0.6822422923379535,0.624362625707808,0.7612865104265363,0.6943879173657033,0.7966156103879484,0.4654545454545456,0.38982868838074836,0.670132143899287,0.4821745797834788,0.6345964307137635,0.18518518518518517,0.18710493046776233,0.18734335839598998,0.18671152228763666,0.18692372170997487,0.41703196984503693,0.46765919144951396,0.2860875924646546,0.4255922800327729,0.3932461234200722,0.4407894736842105,0.1629689390883421,0.46153846153846156,0.04838877880905203,0.09322624417794405,0.08333333333333334,0.03774996437562342,0.0903887788874903,0.03790750568612586,0.023235949884613923,0.15025466893039047,0.2383584610730133,0.1573707229225624,0.13710523804980437,0.1457897454011901,0.15570175438596492,0.10208181154127101,0.04594826643883581,0.19319117781641804,0.06295380509439147,0,0,0.780804259134656,0,0
cote,0.08381445351383635,0.6493599423831983,0.7648398901772471,0.21252460456252892,0.1377865588069243,0.7695600891351132,0.5614617940199336,0.20524691358024683,0.4692599570143545,0.3324440132589537,0.32824262001245286,0.24982065217819824,0.13285588911491847,0.5127398562554608,0.1520935494144684,0.21367076781586783,0.5989453366720734,0.8002172698019849,0.4191577493049884,0.7516859231864432,0.759174997042436,0.9999999999999999,0.0,1.0,0.0,0.0,0.7839115164864313,0.78610248470439,0.6604077511083573,0.8819738315137318,0.8972526996872002,0.6145172656800565,0.6179571164584158,0.5479155764870051,0.7778778394750124,0.805062407095969,0.1037037037037037,0.10619469026548674,0.10588972431077694,0.10513036164844407,0.10561609388097233,0.43662944913947316,0.49903638277294193,0.33687152552254607,0.47933448699732223,0.4460052419236093,0.4534883720930233,0.2937100213219616,0.5650887573964497,0.3802141011443336,0.2791420981014709,0.08333333333333334,0.03681270399196585,0.09309845888009981,0.03790750568612586,0.023933408813295257,0.17204301075268816,0.2013444681355129,0.24551661356395083,0.34549138804457946,0.2506920996623514,0.03003875968992248,0.2041827541827542,0.31220004602426654,0.5260770975056689,0.24242424242424243,0,0,0.6141323979318382,0,0
daniel,0.9520207047581127,0.6474669890467208,0.740016864331938,0.21190855941419146,0.15449194707741473,0.7693032592633897,0.7804014167650533,0.6615378592122774,0.6908850601840926,0.756881784017855,0.7599642175352526,0.6032350284148158,0.26741540201605585,0.7723493222110275,0.47302270333463564,0.3338114321416563,0.3557381515189286,0.5812790937547719,0.19409393540165887,0.4168470972645417,0.5528776650473254,0.9999999999999999,1.0,1.0,1.0,1.0,0.49307754924732755,0.5711746405986885,0.42136795835199353,0.5414300283784549,0.632977643874024,0.24312546957175074,0.32624047006304097,0.2990707993612721,0.29314647562989443,0.4006606976443107,0.2962962962962963,0.29898862199747156,0.2976190476190476,0.29857022708158115,0.298197820620285,0.45059078852182294,0.619705431408357,0.33110039576036027,0.2966772203502154,0.4403712228416847,0.371900826446281,0.4115048436464611,0.588421052631579,0.29422524170368436,0.3028472821397757,0.09090909090909093,0.02987697715289982,0.09573569058659112,0.03471305295976694,0.022594787991641822,0.12414467253176929,0.34784192147086973,0.2860566801619433,0.26416447525699255,0.2792243767313019,0.032196969696969696,0.272921547340152,0.16327356068378682,0.27459298326072,0.16281932902431517,1,0,0.9263726148053831,0,0
delaware-and-hudson,0.3077841927135178,0.6434174521131043,0.7146325898442365,0.20185330413554664,0.1560323243701215,0.767044063027187,0.9627329192546581,0.36658249158249134,0.406358643623721,0.27222968350100096,0.4068766328754556,0.9658402439371898,0.15793653195132887,0.3859668165422957,0.12135636727359525,0.21671505647955136,0.0,0.7436788231113941,0.5977812597198456,0.8139610082013738,0.7547656684841554,0.9999999999999999,0.0,0.0,0.0,1.0,0.17373328834652896,0.7382822358966314,0.6385740496640222,0.8765268150720388,0.8484208924738955,0.030183255479698176,0.5450606598405293,0.5228075295491024,0.7682992575403321,0.7198180107862012,0.05432098765432099,0.05562579013906448,0.05576441102756892,0.055508830950378465,0.05553227158424141,0.22576404105639486,0.44429510155316604,0.26444796208714905,0.21046052680981486,0.29779102652296874,0.4782608695652174,0.3385345997286296,0.5168539325842697,0.23984727525164873,0.23865659728617916,0.08333333333333334,0.016636044096501035,0.09870049392100035,0.08882803571226507,0.032444323360739505,0.28003740065451144,0.3819043984622343,0.21469317199654278,0.1794220387424579,0.25123959423190645,0.12817028985507248,0.2861179361179361,0.12077534737092162,0.25921413341455984,0.1622314212497536,0,0,0.4497710881613466,1,1
dovetail,0.7720485765478798,0.6508731057772459,0.7410622545613286,0.21527171642271484,0.15296675749973468,0.7693406852463188,0.6714285714285715,0.2814009661835746,0.36719336399853697,0.4220186171769802,0.3603111183401597,0.3821094321049291,0.14399945390203087,0.39098302866850126,0.16902795810253599,0.21948616724869555,0.5746558549569227,0.7974509128291648,0.5373871663908215,0.7431640710054928,0.7621730640272983,0.6666666666666666,0.0,0.0,0.0,0.0,0.4885961988246598,0.6972086892137664,0.7559620734695671,0.7459838921572612,0.8202082698006703,0.23872624550590654,0.4860999563151783,0.6634262880822,0.5564919673580964,0.672741605849409,0.145679012345679,0.14538558786346398,0.14598997493734334,0.14550042052144657,0.14564124056999161,0.5526613616268787,0.5537998026076567,0.35674620985900346,0.30225005149037387,0.4416521544738686,0.7,0.4224529526281635,0.572961373390558,0.19018978882651696,0.3190958910553426,0.06805555555555556,0.019744784901046836,0.08234579741586485,0.03790750568612586,0.01260857928622089,0.18584229390681,0.37916666666666665,0.19669858038956753,0.177549523110785,0.23042071573371126,0.278125,0.2576263219741481,0.1837339430409542,0.21557588552662443,0.16811397216139345,0,0,0.4888720623816847,1,1
eleven-madison-park,0.9677483575552459,0.6484031019148077,0.7433251396899963,0.21196637707737973,0.1511089227588106,0.7691178301706716,0.7456828885400315,0.7098940300073444,0.7394190557766915,0.5990081315342684,0.7444831747720371,0.49883213984047703,0.3428992600896381,0.906995279554734,0.24540833687972408,0.32140366663456954,0.4176337875474065,0.5061069952159034,0.11555848937623259,0.6271417831343631,0.5698738750848084,0.9999999999999999,1.0,1.0,1.0,1.0,0.5391952250636969,0.5474203886526318,0.331927226376109,0.6706298736309556,0.6472486331872516,0.29073149073149074,0.29966908191259845,0.2206979705951064,0.44974442740627146,0.4189307931627653,0.2222222222222222,0.2231352718078382,0.22305764411027568,0.2228763666947014,0.22296730930427494,0.44835164835164826,0.6612767844148635,0.45456940168782106,0.4222840859259492,0.5496146461801015,0.47802197802197804,0.39960255380322185,0.6783707865168539,0.6074925686308795,0.43791714083597333,0.08333333333333334,0.023275265487386544,0.09870049392100035,0.04218278828230547,0.02260324980663817,0.1902398676592225,0.4190925683198737,0.38621434745030253,0.4407294832826747,0.4200765660724187,0.15384615384615385,0.2744506546206263,0.2764471563585959,0.43731778425655976,0.2462394259570126,0,1,0.913297175597994,0,0
faro,0.23472028668126615,0.680161943319838,0.6438410409966361,0.23200325063953356,0.19478033169728537,0.768784229024289,0.6616541353383458,0.3335941575378194,0.30885650224215233,0.36791800289253596,0.33857543367793985,0.3662132538687674,0.12087517125712646,0.316292471931384,0.13814712849007058,0.19949067898192605,0.4811910662085698,0.789565463704138,0.6124958633387529,0.7930061604149915,0.7856561670753086,0.9999999999999999,0.0,0.0,0.0,0.0,0.7407052977520968,0.7525132378276577,0.8573782425345342,0.7901594215894738,0.8929135402212264,0.5486443381180225,0.566276173105865,0.7960429242119382,0.6243519115266117,0.7972945903104037,0.04444444444444444,0.04487989886219975,0.045112781954887216,0.044575273338940284,0.04484492875104778,0.2755270138210247,0.3273091355781042,0.27657735522904064,0.20817225755497365,0.26678184501313756,0.6842105263157895,0.5690561278116459,0.6944444444444444,0.5913006029285098,0.5332422586520947,0.13157894736842107,0.02987697715289982,0.05760917786578372,0.03790750568612586,0.013904781777249919,0.4335031126202603,0.4453349449933431,0.42115384615384616,0.2813238770685579,0.4121120107962213,0.19791666666666669,0.5122192615150362,0.500099677798252,0.5404383975812547,0.4152046783625731,0,0,0.3337761742442762,1,0
gramercy-tavern,0.9715309575950627,0.6473294311408044,0.740532156767839,0.21152617423549627,0.15666830912736548,0.769218044689986,0.8486238532110091,0.6472974741525976,0.6748826537026948,0.695723103002091,0.7391772871066347,0.5134612608308115,0.2863495427077075,0.738187258036585,0.36771350495973887,0.33144866915686083,0.40422603375535804,0.6076400801737628,0.2372266368540178,0.5090421544475616,0.5764196307027007,0.9999999999999999,1.0,1.0,1.0,1.0,0.35640703959016085,0.5150767546442776,0.39663072026054574,0.590729326483398,0.6089549774317682,0.12702597786942246,0.2653040631748814,0.27659184305519746,0.3489611371675291,0.3708261645389252,0.5358024691358025,0.5366624525916561,0.5363408521303258,0.5365853658536586,0.5364626990779547,0.44048134718808546,0.47925382732936206,0.3010883569334163,0.26325238607360457,0.36503106502628563,0.4495412844036697,0.18604855580753477,0.7114485981308412,0.2959566182625468,0.29934349445233616,0.07492354740061163,0.028504536506300183,0.11024446551557804,0.08773896855990633,0.03938325233486793,0.12646739666568016,0.18066982519674887,0.37756110711718194,0.25854892951087133,0.25316917767306035,0.12801032110091742,0.1632890841371407,0.4119367801558448,0.3155121203410942,0.20018625799471357,0,0,0.7935811048350724,0,0
